Distance,Bias,1(R) - R,4(R) - R,1(RG) - R,4(RG) - R,2(R) - R
5,1,389,2487,498,2476,1045
10,1,153,726,233,774,343
15,1,97,374,144,401,183
20,1,66,257,98,278,118
25,1,49,188,72,187,83
30,1,37,134,50,137,63
35,1,30,103,41,109,51
40,1,24,83,36,87,41
45,1,18,65,28,69,34
50,1,10,55,22,55,31
5,2,457,1281,465,2556,1092
10,2,188,415,180,856,341
15,2,116,217,119,468,180
20,2,85,143,85,298,116
25,2,57,108,60,202,79
30,2,49,86,50,145,58
35,2,40,72,41,113,45
40,2,31,64,34,86,36
45,2,26,56,29,71,28
50,2,18,50,24,56,23
5,3,426,2140,762,2138,1110
10,3,167,765,281,931,348
15,3,108,436,156,497,186
20,3,74,289,104,328,115
25,3,50,199,74,229,80
30,3,44,158,58,175,60
35,3,38,121,49,135,44
40,3,28,97,41,111,36
45,3,20,83,35,83,28
50,3,17,64,29,74,22
5,4,706,1042,763,1041,1012
10,4,229,762,276,775,334
15,4,129,377,143,394,161
20,4,81,233,70,247,93
25,4,57,154,55,157,63
30,4,39,122,37,128,52
35,4,33,94,32,98,41
40,4,27,76,27,79,33
45,4,18,58,20,64,26
50,4,14,52,13,52,22