Bias,Distance,Off,On
1,10,1552,1488
1,15,921,892
1,20,570,558
1,25,384,374
1,30,265,264
1,35,225,223
1,40,185,184
1,45,145,145
1,50,112,115
2,10,1600,1571
2,15,918,852
2,20,618,573
2,25,436,403
2,30,304,279
2,35,212,215
2,40,170,158
2,45,140,118
2,50,115,112
3,10,1541,1468
3,15,1046,1014
3,20,727,715
3,25,506,524
3,30,368,389
3,35,318,341
3,40,284,302
3,45,215,256
3,50,206,168
4,10,1066,661
4,15,942,727
4,20,544,550
4,25,318,377
4,30,158,245
4,35,145,175
4,40,88,118
4,45,49,71
4,50,19,30